date,startup,vertical,subvertical,city,investors,round,amount,Date
09/01/2020,byjus,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,1660.0,2020-01-09
13/01/2020,shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,66.8,2020-01-13
09/01/2020,mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,152.38,2020-01-09
02/01/2020,httpswwwwealthbucketin,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,24.9,2020-01-02
02/01/2020,fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,14.94,2020-01-02
13/01/2020,pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,74.7,2020-01-13
10/01/2020,zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1245.0,2020-01-10
12/12/2019,ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,49.8,2019-12-12
06/12/2019,cardekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,581.0,2019-12-06
03/12/2019,dhruvaspace,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,415.0,2019-12-03
13/12/2019,rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,166.0,2019-12-13
17/12/2019,healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,99.6,2019-12-17
16/12/2019,licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,249.0,2019-12-16
14/12/2019,trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,16.6,2019-12-14
11/12/2019,reingames,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,415.0,2019-12-11
20/12/2019,lenskartcom,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1917.3,2019-12-20
13/11/2019,freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,1245.0,2019-11-13
14/11/2019,misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4.03,2019-11-14
13/11/2019,sunstoneeduversity,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,12.45,2019-11-13
17/11/2019,burgersingh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0,2019-11-17
18/11/2019,healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,99.6,2019-11-18
15/11/2019,ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,215.8,2019-11-15
20/11/2019,ayefinance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,144.51,2019-11-20
12/11/2019,supergaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,10.79,2019-11-12
20/11/2019,clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,1120.5,2019-11-20
11/11/2019,ebikego,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.49,2019-11-11
19/11/2019,digitalmallasia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,1826.0,2019-11-19
18/11/2019,medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,131.14,2019-11-18
15/11/2019,vogoautomotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2348.9,2019-11-15
